iter	CrossEntropy
705	0.4649119873
706	0.4648737793
707	0.4648145142
708	0.4647636108
709	0.4647186279
710	0.4646792603
711	0.4646302795
712	0.4645841064
713	0.4645429688
714	0.464510498
715	0.4644723511
716	0.4644185791
717	0.4643825989
718	0.4643363342
719	0.4642938843
720	0.4642487183
721	0.4642138062
722	0.4641665344
723	0.4641126099
724	0.4640776367
725	0.4640349731
726	0.4639931335
727	0.4639642334
728	0.4639213257
729	0.4638820801
730	0.4638336182
731	0.4637855225
732	0.4637406006
733	0.4637058105
734	0.4636693115
735	0.4636485596
736	0.4635958862
737	0.4635534668
738	0.463506897
739	0.4634607544
740	0.4634197388
741	0.4633782043
742	0.4633421021
743	0.4633025513
744	0.4632555542
745	0.4632080994
746	0.4631598206
747	0.4631223755
748	0.4630828552
749	0.463053894
750	0.4630172119
751	0.462962616
752	0.462925415
753	0.4628865967
754	0.462839447
755	0.4628071289
756	0.4627702332
757	0.4627179565
758	0.4626702271
759	0.4626382446
760	0.4626111145
761	0.4625615234
762	0.4625259094
763	0.4624842834
764	0.4624455872
765	0.4624151611
766	0.4623712158
767	0.4623288574
768	0.4622938538
769	0.4622626648
770	0.4622017822
771	0.4621610107
772	0.4621179504
773	0.4620854492
774	0.4620540771
775	0.462026062
776	0.4619873962
777	0.4619428406
778	0.4619113464
779	0.461872406
780	0.4618501587
781	0.4618040466
782	0.4617647705
783	0.4617144775
784	0.4616819458
785	0.4616216431
786	0.4615884094
787	0.4615501099
788	0.4615149841
789	0.4614862061
790	0.461460144
791	0.4614255981
792	0.4613889771
793	0.4613430481
794	0.4613025818
795	0.4612669983
796	0.4612441406
797	0.4612155762
798	0.4611849365
799	0.4611458435
800	0.4611065979
801	0.4610662231
802	0.4610263977
803	0.4609873047
804	0.4609435425
805	0.4609122925
806	0.4608817749
807	0.4608459473
808	0.4608106995
809	0.4607674866
810	0.4607305298
811	0.4606968689
812	0.4606628723
813	0.4606163635
814	0.4605741272
815	0.460534729
816	0.4604996948
817	0.4604596863
818	0.4604300537
819	0.460405304
820	0.4603654175
821	0.4603283691
822	0.4603026733
823	0.4602633972
824	0.4602369385
825	0.4601913147
826	0.4601576233
827	0.4601177979
828	0.4600808105
829	0.4600356445
830	0.4600172119
831	0.4599769287
832	0.4599470825
833	0.4599105835
834	0.4598661194
835	0.4598321228
836	0.4597868042
837	0.4597573547
838	0.4597098389
839	0.4596730347
840	0.4596322632
841	0.4595852661
842	0.4595509949
843	0.4595163269
844	0.4594868469
845	0.4594498901
846	0.4594239502
847	0.4593881836
848	0.4593494263
849	0.4593144531
850	0.4592888184
851	0.4592587891
852	0.459232666
853	0.4591951904
854	0.459155365
855	0.4591220703
856	0.4590848389
857	0.4590426941
858	0.4589975281
859	0.4589693298
860	0.4589349976
861	0.4589016113
862	0.4588651733
863	0.4588308716
864	0.4587972717
865	0.4587721252
866	0.4587423096
867	0.4587009277
868	0.4586727905
869	0.4586448364
870	0.4586040649
871	0.4585692444
872	0.458533783
873	0.458500824
874	0.4584649353
875	0.4584371338
876	0.4584057312
877	0.4583763428
878	0.4583452148
879	0.4583122253
880	0.4582738953
881	0.4582544556
882	0.4582255554
883	0.4582008362
884	0.4581707153
885	0.4581202393
886	0.4580912476
887	0.4580610962
888	0.4580275879
889	0.4579981689
890	0.457965271
891	0.457930542
892	0.4578939819
893	0.4578636475
894	0.4578361206
895	0.457809967
896	0.4577709351
897	0.4577383423
898	0.4577050171
899	0.4576628418
900	0.4576150208
901	0.4575796509
902	0.457535614
903	0.4574874268
904	0.4574680786
905	0.4574322205
906	0.4573936462
907	0.4573496094
908	0.4573240356
909	0.4573006897
910	0.4572764282
911	0.4572521973
912	0.4572262268
913	0.457185791
914	0.4571503296
915	0.457130188
916	0.4570898743
917	0.4570553589
918	0.4570337524
919	0.4570011292
920	0.4569670105
921	0.4569315186
922	0.4569031067
923	0.4568644409
924	0.4568365479
925	0.4568093872
926	0.456773468
927	0.4567408752
928	0.4567129822
929	0.4566865845
930	0.4566520081
931	0.4566237488
932	0.4565892944
933	0.4565498047
934	0.4565095215
935	0.4564859009
936	0.4564518433
937	0.4564230652
938	0.4563935547
939	0.4563555298
940	0.4563165283
941	0.4562910767
942	0.4562579956
943	0.4562229919
944	0.4561885376
945	0.4561599731
946	0.4561345825
947	0.4561032715
948	0.4560731812
949	0.4560372314
950	0.456001709
951	0.45596698
952	0.4559422302
953	0.4559083862
954	0.4558681641
955	0.4558381042
956	0.4558081665
957	0.4557906494
958	0.4557563782
959	0.4557262878
960	0.4556902466
961	0.4556552429
962	0.4556223755
963	0.4555858459
964	0.455559967
